"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 강남구 (1168000000)","556,429","265,895","290,534","93,590","41,903","51,687"
"서울특별시 강남구 신사동(1168051000)","15,186","7,095","8,091","3,229","1,447","1,782"
"서울특별시 강남구 논현1동(1168052100)","20,682","9,801","10,881","3,194","1,377","1,817"
"서울특별시 강남구 논현2동(1168053100)","20,155","9,375","10,780","3,322","1,433","1,889"
"서울특별시 강남구 압구정동(1168054500)","25,493","11,874","13,619","5,545","2,463","3,082"
"서울특별시 강남구 청담동(1168056500)","23,942","11,131","12,811","4,171","1,906","2,265"
"서울특별시 강남구 삼성1동(1168058000)","12,721","6,180","6,541","2,619","1,207","1,412"
"서울특별시 강남구 삼성2동(1168059000)","30,219","14,422","15,797","4,210","1,861","2,349"
"서울특별시 강남구 대치1동(1168060000)","23,836","11,949","11,887","2,900","1,391","1,509"
"서울특별시 강남구 대치2동(1168061000)","38,104","19,379","18,725","5,910","2,827","3,083"
"서울특별시 강남구 대치4동(1168063000)","18,163","8,677","9,486","2,282","982","1,300"
"서울특별시 강남구 역삼1동(1168064000)","34,279","16,791","17,488","4,064","1,887","2,177"
"서울특별시 강남구 역삼2동(1168065000)","36,093","16,772","19,321","4,022","1,767","2,255"
"서울특별시 강남구 도곡1동(1168065500)","20,705","9,765","10,940","3,400","1,602","1,798"
"서울특별시 강남구 도곡2동(1168065600)","32,220","14,889","17,331","5,654","2,693","2,961"
"서울특별시 강남구 개포1동(1168066000)","26,751","12,842","13,909","4,358","2,056","2,302"
"서울특별시 강남구 개포2동(1168067000)","42,135","20,394","21,741","5,973","2,813","3,160"
"서울특별시 강남구 개포3동(1168067500)","16,607","8,014","8,593","3,815","1,483","2,332"
"서울특별시 강남구 개포4동(1168069000)","23,019","11,080","11,939","3,940","1,779","2,161"
"서울특별시 강남구 세곡동(1168070000)","46,006","21,502","24,504","8,042","3,469","4,573"
"서울특별시 강남구 일원본동(1168072000)","22,435","11,093","11,342","3,851","1,757","2,094"
"서울특별시 강남구 일원1동(1168073000)","14,165","6,794","7,371","3,747","1,589","2,158"
"서울특별시 강남구 수서동(1168075000)","13,513","6,076","7,437","5,342","2,114","3,228"
