"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 강동구 (1174000000)","498,673","243,202","255,471","95,620","43,475","52,145"
"서울특별시 강동구 강일동(1174051500)","34,368","16,464","17,904","6,828","2,954","3,874"
"서울특별시 강동구 상일제1동(1174052500)","39,029","19,149","19,880","5,762","2,785","2,977"
"서울특별시 강동구 상일제2동(1174052600)","13,375","6,243","7,132","2,212","906","1,306"
"서울특별시 강동구 명일제1동(1174053000)","24,669","12,058","12,611","4,880","2,196","2,684"
"서울특별시 강동구 명일제2동(1174054000)","16,814","8,181","8,633","3,169","1,527","1,642"
"서울특별시 강동구 고덕제1동(1174055000)","23,636","12,125","11,511","3,450","1,634","1,816"
"서울특별시 강동구 고덕제2동(1174056000)","26,168","13,072","13,096","3,939","1,853","2,086"
"서울특별시 강동구 암사제1동(1174057000)","32,853","16,233","16,620","7,299","3,251","4,048"
"서울특별시 강동구 암사제2동(1174058000)","14,531","7,034","7,497","2,842","1,276","1,566"
"서울특별시 강동구 암사제3동(1174059000)","16,955","8,268","8,687","3,200","1,503","1,697"
"서울특별시 강동구 천호제1동(1174060000)","25,252","12,335","12,917","6,291","2,787","3,504"
"서울특별시 강동구 천호제2동(1174061000)","34,838","16,937","17,901","7,099","3,197","3,902"
"서울특별시 강동구 천호제3동(1174062000)","26,218","12,498","13,720","5,426","2,481","2,945"
"서울특별시 강동구 성내제1동(1174064000)","19,034","9,074","9,960","3,638","1,628","2,010"
"서울특별시 강동구 성내제2동(1174065000)","24,099","11,707","12,392","5,135","2,332","2,803"
"서울특별시 강동구 성내제3동(1174066000)","21,676","10,552","11,124","4,622","1,992","2,630"
"서울특별시 강동구 길동(1174068500)","48,149","23,255","24,894","10,183","4,612","5,571"
"서울특별시 강동구 둔촌제1동(1174069000)","31,839","15,717","16,122","4,501","2,184","2,317"
"서울특별시 강동구 둔촌제2동(1174070000)","25,170","12,300","12,870","5,144","2,377","2,767"
