"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 강북구 (1130500000)","280,813","135,251","145,562","72,965","31,318","41,647"
"서울특별시 강북구 삼양동(1130553400)","24,406","12,044","12,362","5,952","2,628","3,324"
"서울특별시 강북구 미아동(1130553500)","20,429","9,758","10,671","5,217","2,277","2,940"
"서울특별시 강북구 송중동(1130554500)","27,602","13,169","14,433","6,833","3,007","3,826"
"서울특별시 강북구 송천동(1130555500)","22,087","10,912","11,175","6,421","2,870","3,551"
"서울특별시 강북구 삼각산동(1130557500)","30,085","14,423","15,662","5,359","2,233","3,126"
"서울특별시 강북구 번1동(1130559500)","16,127","7,919","8,208","3,724","1,629","2,095"
"서울특별시 강북구 번2동(1130560300)","14,445","6,877","7,568","4,516","1,824","2,692"
"서울특별시 강북구 번3동(1130560800)","15,771","7,316","8,455","5,185","2,054","3,131"
"서울특별시 강북구 수유1동(1130561500)","19,377","9,439","9,938","5,076","2,222","2,854"
"서울특별시 강북구 수유2동(1130562500)","20,048","9,512","10,536","5,736","2,427","3,309"
"서울특별시 강북구 수유3동(1130563500)","22,656","11,057","11,599","5,414","2,339","3,075"
"서울특별시 강북구 우이동(1130564500)","19,478","9,222","10,256","5,524","2,362","3,162"
"서울특별시 강북구 인수동(1130566000)","28,302","13,603","14,699","8,008","3,446","4,562"
