"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 강서구 (1150000000)","551,848","263,763","288,085","110,428","48,512","61,916"
"서울특별시 강서구 염창동(1150051000)","41,159","19,684","21,475","5,467","2,551","2,916"
"서울특별시 강서구 등촌제1동(1150052000)","24,978","11,557","13,421","3,553","1,514","2,039"
"서울특별시 강서구 등촌제2동(1150053000)","19,049","9,266","9,783","3,872","1,764","2,108"
"서울특별시 강서구 등촌제3동(1150053500)","28,748","13,453","15,295","8,140","3,473","4,667"
"서울특별시 강서구 화곡제1동(1150054000)","49,679","24,018","25,661","10,035","4,395","5,640"
"서울특별시 강서구 화곡제2동(1150055000)","16,656","8,011","8,645","3,367","1,416","1,951"
"서울특별시 강서구 화곡제3동(1150056000)","20,683","9,850","10,833","4,937","2,215","2,722"
"서울특별시 강서구 화곡제4동(1150057000)","19,099","9,289","9,810","4,560","1,915","2,645"
"서울특별시 강서구 화곡본동(1150059000)","31,980","15,466","16,514","5,947","2,549","3,398"
"서울특별시 강서구 화곡제6동(1150059100)","25,565","12,159","13,406","4,840","2,206","2,634"
"서울특별시 강서구 화곡제8동(1150059300)","22,632","10,914","11,718","5,121","2,202","2,919"
"서울특별시 강서구 가양제1동(1150060300)","33,578","15,018","18,560","4,019","1,916","2,103"
"서울특별시 강서구 가양제2동(1150060400)","13,012","6,163","6,849","4,859","2,159","2,700"
"서울특별시 강서구 가양제3동(1150060500)","13,556","6,239","7,317","4,142","1,636","2,506"
"서울특별시 강서구 발산제1동(1150061100)","34,945","16,424","18,521","5,986","2,499","3,487"
"서울특별시 강서구 우장산동(1150061500)","43,637","20,771","22,866","7,261","3,322","3,939"
"서울특별시 강서구 공항동(1150062000)","28,767","14,502","14,265","4,801","2,168","2,633"
"서울특별시 강서구 방화제1동(1150063000)","39,695","19,342","20,353","7,562","3,455","4,107"
"서울특별시 강서구 방화제2동(1150064000)","22,947","11,343","11,604","5,801","2,521","3,280"
"서울특별시 강서구 방화제3동(1150064100)","21,483","10,294","11,189","6,158","2,636","3,522"
