"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 관악구 (1162000000)","479,285","241,138","238,147","90,703","40,161","50,542"
"서울특별시 관악구 보라매동(1162052500)","23,156","11,321","11,835","5,168","2,231","2,937"
"서울특별시 관악구 청림동(1162054500)","14,367","6,849","7,518","3,118","1,315","1,803"
"서울특별시 관악구 성현동(1162056500)","29,669","14,302","15,367","6,248","2,625","3,623"
"서울특별시 관악구 행운동(1162057500)","28,657","13,850","14,807","4,881","2,142","2,739"
"서울특별시 관악구 낙성대동(1162058500)","17,510","8,849","8,661","2,186","950","1,236"
"서울특별시 관악구 청룡동(1162059500)","36,003","17,308","18,695","5,211","2,314","2,897"
"서울특별시 관악구 은천동(1162060500)","31,585","15,435","16,150","6,626","2,919","3,707"
"서울특별시 관악구 중앙동(1162061500)","15,187","7,218","7,969","2,604","1,156","1,448"
"서울특별시 관악구 인헌동(1162062500)","25,041","12,113","12,928","4,560","1,978","2,582"
"서울특별시 관악구 남현동(1162063000)","17,329","8,389","8,940","3,278","1,449","1,829"
"서울특별시 관악구 서원동(1162064500)","23,036","12,098","10,938","3,737","1,672","2,065"
"서울특별시 관악구 신원동(1162065500)","17,379","8,926","8,453","3,587","1,523","2,064"
"서울특별시 관악구 서림동(1162066500)","23,371","12,947","10,424","4,090","1,874","2,216"
"서울특별시 관악구 신사동(1162068500)","22,022","10,981","11,041","3,905","1,771","2,134"
"서울특별시 관악구 신림동(1162069500)","23,092","12,518","10,574","2,135","999","1,136"
"서울특별시 관악구 난향동(1162071500)","14,477","7,059","7,418","3,180","1,402","1,778"
"서울특별시 관악구 조원동(1162072500)","19,669","9,757","9,912","3,428","1,601","1,827"
"서울특별시 관악구 대학동(1162073500)","24,788","15,223","9,565","3,532","1,685","1,847"
"서울특별시 관악구 삼성동(1162074500)","19,949","9,881","10,068","6,182","2,686","3,496"
"서울특별시 관악구 미성동(1162076500)","28,597","13,966","14,631","6,845","3,080","3,765"
"서울특별시 관악구 난곡동(1162077500)","24,401","12,148","12,253","6,202","2,789","3,413"
