"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 구로구 (1153000000)","385,786","188,682","197,104","84,429","37,762","46,667"
"서울특별시 구로구 신도림동(1153051000)","35,813","17,229","18,584","5,609","2,614","2,995"
"서울특별시 구로구 구로제1동(1153052000)","20,216","9,869","10,347","3,395","1,527","1,868"
"서울특별시 구로구 구로제2동(1153053000)","21,899","10,952","10,947","6,256","2,747","3,509"
"서울특별시 구로구 구로제3동(1153054000)","22,793","11,800","10,993","3,978","1,735","2,243"
"서울특별시 구로구 구로제4동(1153055000)","17,893","8,568","9,325","5,015","2,132","2,883"
"서울특별시 구로구 구로제5동(1153056000)","28,784","13,973","14,811","5,608","2,553","3,055"
"서울특별시 구로구 가리봉동(1153059500)","8,787","4,854","3,933","2,136","1,041","1,095"
"서울특별시 구로구 고척제1동(1153072000)","26,307","13,092","13,215","5,231","2,403","2,828"
"서울특별시 구로구 고척제2동(1153073000)","25,135","12,326","12,809","6,210","2,795","3,415"
"서울특별시 구로구 개봉제1동(1153074000)","33,265","16,437","16,828","7,676","3,496","4,180"
"서울특별시 구로구 개봉제2동(1153075000)","29,434","14,143","15,291","7,619","3,437","4,182"
"서울특별시 구로구 개봉제3동(1153076000)","18,952","9,161","9,791","5,038","2,220","2,818"
"서울특별시 구로구 오류제1동(1153077000)","22,600","10,756","11,844","4,669","2,111","2,558"
"서울특별시 구로구 오류제2동(1153078000)","35,779","16,958","18,821","8,330","3,529","4,801"
"서울특별시 구로구 수궁동(1153079000)","22,119","10,821","11,298","5,448","2,426","3,022"
"서울특별시 구로구 항동(1153080000)","16,010","7,743","8,267","2,211","996","1,215"
