"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 금천구 (1154500000)","223,771","112,380","111,391","48,592","22,289","26,303"
"서울특별시 금천구 가산동(1154551000)","25,122","13,464","11,658","3,210","1,571","1,639"
"서울특별시 금천구 독산제1동(1154561000)","47,187","23,838","23,349","7,171","3,343","3,828"
"서울특별시 금천구 독산제2동(1154562000)","17,313","8,709","8,604","4,225","1,941","2,284"
"서울특별시 금천구 독산제3동(1154563000)","22,790","11,478","11,312","5,595","2,580","3,015"
"서울특별시 금천구 독산제4동(1154564000)","13,923","6,967","6,956","3,423","1,617","1,806"
"서울특별시 금천구 시흥제1동(1154567000)","31,432","15,613","15,819","7,274","3,244","4,030"
"서울특별시 금천구 시흥제2동(1154568000)","20,047","9,600","10,447","4,937","2,222","2,715"
"서울특별시 금천구 시흥제3동(1154569000)","10,049","4,950","5,099","2,763","1,253","1,510"
"서울특별시 금천구 시흥제4동(1154570000)","18,523","9,141","9,382","5,018","2,343","2,675"
"서울특별시 금천구 시흥제5동(1154571000)","17,385","8,620","8,765","4,976","2,175","2,801"
