"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 노원구 (1135000000)","486,173","232,753","253,420","103,009","43,747","59,262"
"서울특별시 노원구 월계1동(1135056000)","20,198","10,390","9,808","4,663","2,093","2,570"
"서울특별시 노원구 월계2동(1135057000)","24,939","11,920","13,019","6,798","2,862","3,936"
"서울특별시 노원구 월계3동(1135058000)","27,956","13,302","14,654","6,988","2,936","4,052"
"서울특별시 노원구 공릉1동(1135059500)","35,408","17,046","18,362","7,681","3,363","4,318"
"서울특별시 노원구 공릉2동(1135060000)","40,923","19,819","21,104","6,770","3,034","3,736"
"서울특별시 노원구 하계1동(1135061100)","25,474","12,121","13,353","5,331","2,123","3,208"
"서울특별시 노원구 하계2동(1135061200)","19,689","9,375","10,314","3,413","1,452","1,961"
"서울특별시 노원구 중계본동(1135061900)","22,230","10,754","11,476","2,839","1,293","1,546"
"서울특별시 노원구 중계1동(1135062100)","25,967","12,674","13,293","3,002","1,288","1,714"
"서울특별시 노원구 중계4동(1135062400)","18,754","8,985","9,769","4,501","1,840","2,661"
"서울특별시 노원구 중계2.3동(1135062500)","31,733","14,376","17,357","8,450","3,130","5,320"
"서울특별시 노원구 상계1동(1135063000)","36,285","17,410","18,875","8,816","3,973","4,843"
"서울특별시 노원구 상계2동(1135064000)","18,664","9,176","9,488","4,129","1,874","2,255"
"서울특별시 노원구 상계3.4동(1135066500)","26,846","13,354","13,492","7,069","3,111","3,958"
"서울특별시 노원구 상계5동(1135067000)","22,331","10,848","11,483","5,900","2,508","3,392"
"서울특별시 노원구 상계6.7동(1135069500)","30,522","14,016","16,506","5,779","2,350","3,429"
"서울특별시 노원구 상계8동(1135070000)","21,331","10,086","11,245","3,477","1,413","2,064"
"서울특별시 노원구 상계9동(1135071000)","19,144","8,937","10,207","4,148","1,738","2,410"
"서울특별시 노원구 상계10동(1135072000)","17,779","8,164","9,615","3,255","1,366","1,889"
