"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 도봉구 (1132000000)","301,161","145,399","155,762","76,634","34,009","42,625"
"서울특별시 도봉구 창제1동(1132051100)","23,610","11,202","12,408","5,478","2,355","3,123"
"서울특별시 도봉구 창제2동(1132051200)","27,557","13,302","14,255","6,422","2,830","3,592"
"서울특별시 도봉구 창제3동(1132051300)","12,829","6,379","6,450","3,390","1,491","1,899"
"서울특별시 도봉구 창제4동(1132051400)","26,108","12,419","13,689","5,317","2,367","2,950"
"서울특별시 도봉구 창제5동(1132051500)","23,401","11,072","12,329","5,332","2,388","2,944"
"서울특별시 도봉구 도봉제1동(1132052100)","19,577","9,784","9,793","6,597","2,999","3,598"
"서울특별시 도봉구 도봉제2동(1132052200)","25,755","12,571","13,184","7,674","3,415","4,259"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,589","9,772","10,817","5,424","2,394","3,030"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,485","8,341","9,144","4,624","1,956","2,668"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,065","7,625","8,440","3,966","1,723","2,243"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,775","8,360","9,415","3,942","1,746","2,196"
"서울특별시 도봉구 방학제1동(1132069000)","27,101","13,368","13,733","6,973","3,217","3,756"
"서울특별시 도봉구 방학제2동(1132070000)","17,786","8,898","8,888","5,184","2,352","2,832"
"서울특별시 도봉구 방학제3동(1132071000)","25,523","12,306","13,217","6,311","2,776","3,535"
