"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 동대문구 (1123000000)","343,695","167,750","175,945","71,133","31,690","39,443"
"서울특별시 동대문구 신설동(1123051500)","16,405","8,060","8,345","2,549","1,218","1,331"
"서울특별시 동대문구 용두동(1123053300)","22,425","11,061","11,364","4,557","2,053","2,504"
"서울특별시 동대문구 제기동(1123054500)","22,760","11,682","11,078","5,900","2,647","3,253"
"서울특별시 동대문구 전농제1동(1123056000)","32,590","16,180","16,410","6,584","2,990","3,594"
"서울특별시 동대문구 전농제2동(1123057000)","17,490","8,319","9,171","4,205","1,806","2,399"
"서울특별시 동대문구 답십리제1동(1123060000)","27,511","13,109","14,402","4,687","2,084","2,603"
"서울특별시 동대문구 답십리제2동(1123061000)","27,417","13,132","14,285","6,424","2,796","3,628"
"서울특별시 동대문구 장안제1동(1123065000)","37,198","18,219","18,979","7,836","3,592","4,244"
"서울특별시 동대문구 장안제2동(1123066000)","32,909","16,212","16,697","6,287","2,836","3,451"
"서울특별시 동대문구 청량리동(1123070500)","18,178","8,902","9,276","5,989","2,660","3,329"
"서울특별시 동대문구 회기동(1123071000)","10,214","4,798","5,416","1,584","646","938"
"서울특별시 동대문구 휘경제1동(1123072000)","14,936","6,928","8,008","2,356","1,051","1,305"
"서울특별시 동대문구 휘경제2동(1123073000)","23,873","11,930","11,943","4,530","2,003","2,527"
"서울특별시 동대문구 이문제1동(1123074000)","21,429","10,388","11,041","3,314","1,411","1,903"
"서울특별시 동대문구 이문제2동(1123075000)","18,360","8,830","9,530","4,331","1,897","2,434"
