"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 동작구 (1159000000)","374,200","180,560","193,640","74,571","32,406","42,165"
"서울특별시 동작구 노량진제1동(1159051000)","32,902","16,856","16,046","6,607","2,865","3,742"
"서울특별시 동작구 노량진제2동(1159052000)","7,943","4,208","3,735","1,832","827","1,005"
"서울특별시 동작구 상도제1동(1159053000)","44,004","21,314","22,690","8,236","3,537","4,699"
"서울특별시 동작구 상도제2동(1159054000)","26,994","12,806","14,188","4,878","2,131","2,747"
"서울특별시 동작구 상도제3동(1159055000)","23,467","11,096","12,371","5,219","2,239","2,980"
"서울특별시 동작구 상도제4동(1159056000)","29,020","14,036","14,984","6,108","2,631","3,477"
"서울특별시 동작구 흑석동(1159060500)","29,923","14,350","15,573","5,610","2,420","3,190"
"서울특별시 동작구 사당제1동(1159062000)","22,230","10,673","11,557","4,241","1,871","2,370"
"서울특별시 동작구 사당제2동(1159063000)","27,837","13,305","14,532","6,409","2,780","3,629"
"서울특별시 동작구 사당제3동(1159064000)","23,300","11,268","12,032","5,210","2,387","2,823"
"서울특별시 동작구 사당제4동(1159065000)","13,635","6,493","7,142","3,137","1,323","1,814"
"서울특별시 동작구 사당제5동(1159065100)","13,969","6,665","7,304","2,715","1,169","1,546"
"서울특별시 동작구 대방동(1159066000)","33,998","15,980","18,018","6,027","2,526","3,501"
"서울특별시 동작구 신대방제1동(1159067000)","22,877","10,964","11,913","4,533","2,031","2,502"
"서울특별시 동작구 신대방제2동(1159068000)","22,101","10,546","11,555","3,809","1,669","2,140"
