"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 마포구 (1144000000)","359,125","166,881","192,244","60,923","25,595","35,328"
"서울특별시 마포구 아현동(1144055500)","29,055","13,465","15,590","4,014","1,726","2,288"
"서울특별시 마포구 공덕동(1144056500)","35,906","16,662","19,244","6,648","2,812","3,836"
"서울특별시 마포구 도화동(1144058500)","20,393","9,657","10,736","4,110","1,748","2,362"
"서울특별시 마포구 용강동(1144059000)","21,156","9,864","11,292","3,304","1,412","1,892"
"서울특별시 마포구 대흥동(1144060000)","14,172","6,798","7,374","2,078","893","1,185"
"서울특별시 마포구 염리동(1144061000)","16,724","7,949","8,775","2,257","921","1,336"
"서울특별시 마포구 신수동(1144063000)","22,037","10,706","11,331","3,762","1,634","2,128"
"서울특별시 마포구 서강동(1144065500)","24,300","11,594","12,706","3,762","1,639","2,123"
"서울특별시 마포구 서교동(1144066000)","23,660","10,799","12,861","3,514","1,474","2,040"
"서울특별시 마포구 합정동(1144068000)","15,925","7,304","8,621","2,813","1,184","1,629"
"서울특별시 마포구 망원제1동(1144069000)","18,556","8,547","10,009","3,681","1,497","2,184"
"서울특별시 마포구 망원제2동(1144070000)","17,337","8,042","9,295","3,447","1,437","2,010"
"서울특별시 마포구 연남동(1144071000)","13,911","6,472","7,439","2,508","1,044","1,464"
"서울특별시 마포구 성산제1동(1144072000)","18,505","8,490","10,015","3,316","1,361","1,955"
"서울특별시 마포구 성산제2동(1144073000)","38,264","16,899","21,365","6,957","2,812","4,145"
"서울특별시 마포구 상암동(1144074000)","29,224","13,633","15,591","4,752","2,001","2,751"
