"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 서대문구 (1141000000)","301,097","142,405","158,692","61,066","26,135","34,931"
"서울특별시 서대문구 천연동(1141052000)","16,439","7,761","8,678","3,564","1,474","2,090"
"서울특별시 서대문구 북아현동(1141055500)","15,249","7,365","7,884","2,537","1,088","1,449"
"서울특별시 서대문구 충현동(1141056500)","19,300","9,230","10,070","3,799","1,705","2,094"
"서울특별시 서대문구 신촌동(1141058500)","20,306","8,620","11,686","2,241","948","1,293"
"서울특별시 서대문구 연희동(1141061500)","33,448","15,870","17,578","6,441","2,717","3,724"
"서울특별시 서대문구 홍제제1동(1141062000)","24,410","11,366","13,044","5,450","2,331","3,119"
"서울특별시 서대문구 홍제제3동(1141064000)","17,330","8,247","9,083","4,279","1,768","2,511"
"서울특별시 서대문구 홍제제2동(1141065500)","12,040","5,611","6,429","2,882","1,205","1,677"
"서울특별시 서대문구 홍은제1동(1141066000)","22,314","10,732","11,582","5,260","2,296","2,964"
"서울특별시 서대문구 홍은제2동(1141068500)","27,682","13,214","14,468","5,922","2,532","3,390"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,572","7,913","8,659","2,532","1,088","1,444"
"서울특별시 서대문구 남가좌제2동(1141070000)","28,694","13,743","14,951","5,434","2,311","3,123"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,338","8,295","9,043","3,428","1,479","1,949"
"서울특별시 서대문구 북가좌제2동(1141072000)","29,975","14,438","15,537","7,297","3,193","4,104"
