"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 서초구 (1165000000)","409,387","194,552","214,835","70,299","31,678","38,621"
"서울특별시 서초구 서초1동(1165051000)","20,184","9,690","10,494","3,503","1,618","1,885"
"서울특별시 서초구 서초2동(1165052000)","24,733","11,596","13,137","3,339","1,541","1,798"
"서울특별시 서초구 서초3동(1165053000)","31,945","15,070","16,875","5,588","2,575","3,013"
"서울특별시 서초구 서초4동(1165053100)","30,059","14,636","15,423","4,725","2,226","2,499"
"서울특별시 서초구 잠원동(1165054000)","29,639","14,313","15,326","4,326","1,974","2,352"
"서울특별시 서초구 반포본동(1165055000)","221","99","122","40","20","20"
"서울특별시 서초구 반포1동(1165056000)","33,414","16,323","17,091","4,493","2,009","2,484"
"서울특별시 서초구 반포2동(1165057000)","26,598","12,613","13,985","3,868","1,728","2,140"
"서울특별시 서초구 반포3동(1165058000)","23,665","11,272","12,393","3,589","1,595","1,994"
"서울특별시 서초구 반포4동(1165058100)","18,396","8,577","9,819","3,312","1,492","1,820"
"서울특별시 서초구 방배본동(1165059000)","19,940","9,182","10,758","3,498","1,567","1,931"
"서울특별시 서초구 방배1동(1165060000)","16,377","7,613","8,764","3,338","1,488","1,850"
"서울특별시 서초구 방배2동(1165061000)","17,588","8,174","9,414","3,913","1,694","2,219"
"서울특별시 서초구 방배3동(1165062000)","15,677","7,456","8,221","3,245","1,531","1,714"
"서울특별시 서초구 방배4동(1165062100)","22,601","10,224","12,377","3,952","1,753","2,199"
"서울특별시 서초구 양재1동(1165065100)","40,778","19,282","21,496","8,297","3,565","4,732"
"서울특별시 서초구 양재2동(1165065200)","20,873","10,405","10,468","3,525","1,583","1,942"
"서울특별시 서초구 내곡동(1165066000)","16,699","8,027","8,672","3,748","1,719","2,029"
