"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 성동구 (1120000000)","272,979","131,952","141,027","52,289","23,154","29,135"
"서울특별시 성동구 왕십리제2동(1120052000)","15,877","7,604","8,273","2,970","1,327","1,643"
"서울특별시 성동구 왕십리도선동(1120053500)","25,704","12,079","13,625","4,365","1,914","2,451"
"서울특별시 성동구 마장동(1120054000)","21,390","10,480","10,910","4,449","2,010","2,439"
"서울특별시 성동구 사근동(1120055000)","12,034","6,226","5,808","1,600","684","916"
"서울특별시 성동구 행당제1동(1120056000)","13,655","6,479","7,176","2,424","1,089","1,335"
"서울특별시 성동구 행당제2동(1120057000)","22,507","10,497","12,010","4,396","1,852","2,544"
"서울특별시 성동구 응봉동(1120058000)","14,548","6,889","7,659","2,700","1,141","1,559"
"서울특별시 성동구 금호1가동(1120059000)","14,409","6,837","7,572","3,042","1,272","1,770"
"서울특별시 성동구 금호2.3가동(1120061500)","20,685","9,806","10,879","4,163","1,759","2,404"
"서울특별시 성동구 금호4가동(1120062000)","13,993","6,586","7,407","2,823","1,153","1,670"
"서울특별시 성동구 옥수동(1120064500)","25,097","11,634","13,463","4,719","2,006","2,713"
"서울특별시 성동구 성수1가제1동(1120065000)","15,015","7,424","7,591","2,669","1,261","1,408"
"서울특별시 성동구 성수1가제2동(1120066000)","13,216","6,407","6,809","2,391","1,102","1,289"
"서울특별시 성동구 성수2가제1동(1120067000)","13,831","7,171","6,660","3,174","1,525","1,649"
"서울특별시 성동구 성수2가제3동(1120069000)","9,563","4,708","4,855","1,987","936","1,051"
"서울특별시 성동구 송정동(1120072000)","9,279","4,874","4,405","2,012","964","1,048"
"서울특별시 성동구 용답동(1120079000)","12,176","6,251","5,925","2,405","1,159","1,246"
