"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 성북구 (1129000000)","424,247","202,853","221,394","86,055","37,167","48,888"
"서울특별시 성북구 성북동(1129052500)","15,653","7,268","8,385","3,301","1,392","1,909"
"서울특별시 성북구 삼선동(1129055500)","21,786","10,317","11,469","4,423","1,875","2,548"
"서울특별시 성북구 동선동(1129057500)","14,849","5,990","8,859","2,297","953","1,344"
"서울특별시 성북구 돈암제1동(1129058000)","13,925","6,490","7,435","3,342","1,421","1,921"
"서울특별시 성북구 돈암제2동(1129059000)","22,969","10,823","12,146","4,121","1,778","2,343"
"서울특별시 성북구 안암동(1129060000)","15,467","7,733","7,734","2,303","974","1,329"
"서울특별시 성북구 보문동(1129061000)","15,929","7,630","8,299","2,879","1,244","1,635"
"서울특별시 성북구 정릉제1동(1129062000)","17,476","8,361","9,115","3,589","1,532","2,057"
"서울특별시 성북구 정릉제2동(1129063000)","21,986","10,530","11,456","5,168","2,237","2,931"
"서울특별시 성북구 정릉제3동(1129064000)","13,961","6,885","7,076","3,311","1,334","1,977"
"서울특별시 성북구 정릉제4동(1129065000)","23,674","11,269","12,405","5,597","2,375","3,222"
"서울특별시 성북구 길음제1동(1129066000)","35,459","16,725","18,734","5,276","2,202","3,074"
"서울특별시 성북구 길음제2동(1129068500)","21,476","10,220","11,256","3,434","1,523","1,911"
"서울특별시 성북구 종암동(1129070500)","36,786","18,112","18,674","7,794","3,349","4,445"
"서울특별시 성북구 월곡제1동(1129071500)","24,918","11,964","12,954","5,480","2,411","3,069"
"서울특별시 성북구 월곡제2동(1129072500)","18,453","8,750","9,703","4,105","1,818","2,287"
"서울특별시 성북구 장위제1동(1129076000)","22,815","11,098","11,717","4,764","2,098","2,666"
"서울특별시 성북구 장위제2동(1129077000)","15,359","7,517","7,842","3,701","1,583","2,118"
"서울특별시 성북구 장위제3동(1129078000)","18,327","8,985","9,342","2,912","1,328","1,584"
"서울특별시 성북구 석관동(1129081000)","32,979","16,186","16,793","8,258","3,740","4,518"
