"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 송파구 (1171000000)","646,256","309,477","336,779","116,764","53,431","63,333"
"서울특별시 송파구 풍납1동(1171051000)","11,007","5,373","5,634","3,003","1,344","1,659"
"서울특별시 송파구 풍납2동(1171052000)","22,964","10,859","12,105","4,528","2,089","2,439"
"서울특별시 송파구 거여1동(1171053100)","11,737","5,802","5,935","2,839","1,309","1,530"
"서울특별시 송파구 거여2동(1171053200)","23,215","11,199","12,016","5,030","2,216","2,814"
"서울특별시 송파구 마천1동(1171054000)","15,247","7,805","7,442","4,174","1,942","2,232"
"서울특별시 송파구 마천2동(1171055000)","17,086","8,690","8,396","4,894","2,230","2,664"
"서울특별시 송파구 방이1동(1171056100)","14,932","7,127","7,805","2,680","1,254","1,426"
"서울특별시 송파구 방이2동(1171056200)","26,233","11,813","14,420","4,134","1,833","2,301"
"서울특별시 송파구 오륜동(1171056600)","17,450","8,583","8,867","3,426","1,671","1,755"
"서울특별시 송파구 오금동(1171057000)","37,728","18,209","19,519","7,964","3,631","4,333"
"서울특별시 송파구 송파1동(1171058000)","22,929","10,618","12,311","4,006","1,796","2,210"
"서울특별시 송파구 송파2동(1171059000)","19,253","9,244","10,009","3,488","1,648","1,840"
"서울특별시 송파구 석촌동(1171060000)","30,207","14,248","15,959","5,263","2,359","2,904"
"서울특별시 송파구 삼전동(1171061000)","28,391","13,282","15,109","4,662","2,006","2,656"
"서울특별시 송파구 가락본동(1171062000)","24,547","12,136","12,411","4,617","2,193","2,424"
"서울특별시 송파구 가락1동(1171063100)","26,967","13,000","13,967","4,320","2,036","2,284"
"서울특별시 송파구 가락2동(1171063200)","30,333","14,799","15,534","5,145","2,401","2,744"
"서울특별시 송파구 문정1동(1171064100)","19,643","9,598","10,045","3,705","1,748","1,957"
"서울특별시 송파구 문정2동(1171064200)","28,606","13,080","15,526","4,649","2,195","2,454"
"서울특별시 송파구 장지동(1171064600)","30,806","14,777","16,029","5,599","2,451","3,148"
"서울특별시 송파구 위례동(1171064700)","44,839","21,788","23,051","4,338","1,901","2,437"
"서울특별시 송파구 잠실본동(1171065000)","27,390","12,942","14,448","4,404","1,967","2,437"
"서울특별시 송파구 잠실2동(1171067000)","34,617","16,556","18,061","4,186","1,889","2,297"
"서울특별시 송파구 잠실3동(1171068000)","33,613","15,825","17,788","6,657","3,100","3,557"
"서울특별시 송파구 잠실4동(1171069000)","20,931","10,106","10,825","3,310","1,540","1,770"
"서울특별시 송파구 잠실6동(1171071000)","16,250","7,685","8,565","3,328","1,558","1,770"
"서울특별시 송파구 잠실7동(1171072000)","9,335","4,333","5,002","2,415","1,124","1,291"
