"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 양천구 (1147000000)","427,379","208,113","219,266","82,717","37,221","45,496"
"서울특별시 양천구 목1동(1147051000)","29,899","14,310","15,589","3,935","1,822","2,113"
"서울특별시 양천구 목2동(1147052000)","28,060","13,472","14,588","5,028","2,246","2,782"
"서울특별시 양천구 목3동(1147053000)","20,839","9,881","10,958","4,228","1,875","2,353"
"서울특별시 양천구 목4동(1147054000)","23,873","11,615","12,258","3,871","1,706","2,165"
"서울특별시 양천구 목5동(1147055000)","40,567","20,081","20,486","5,692","2,767","2,925"
"서울특별시 양천구 신월1동(1147056000)","18,711","9,602","9,109","5,084","2,394","2,690"
"서울특별시 양천구 신월2동(1147057000)","20,505","10,002","10,503","4,811","2,153","2,658"
"서울특별시 양천구 신월3동(1147058000)","13,845","7,272","6,573","3,612","1,735","1,877"
"서울특별시 양천구 신월4동(1147059000)","16,931","8,189","8,742","4,005","1,754","2,251"
"서울특별시 양천구 신월5동(1147060000)","13,687","6,776","6,911","2,959","1,351","1,608"
"서울특별시 양천구 신월6동(1147061000)","13,678","6,647","7,031","2,338","1,041","1,297"
"서울특별시 양천구 신월7동(1147061100)","18,026","8,730","9,296","4,999","2,112","2,887"
"서울특별시 양천구 신정1동(1147062000)","19,544","9,469","10,075","3,179","1,431","1,748"
"서울특별시 양천구 신정2동(1147063000)","18,404","8,999","9,405","3,122","1,443","1,679"
"서울특별시 양천구 신정3동(1147064000)","47,772","23,068","24,704","9,299","4,076","5,223"
"서울특별시 양천구 신정4동(1147065000)","31,336","15,124","16,212","7,001","3,082","3,919"
"서울특별시 양천구 신정6동(1147067000)","23,921","11,602","12,319","3,538","1,696","1,842"
"서울특별시 양천구 신정7동(1147068000)","27,781","13,274","14,507","6,016","2,537","3,479"
