"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 영등포구 (1156000000)","372,690","181,998","190,692","70,264","31,864","38,400"
"서울특별시 영등포구 영등포본동(1156051500)","20,401","10,433","9,968","4,703","2,246","2,457"
"서울특별시 영등포구 영등포동(1156053500)","31,149","15,767","15,382","3,782","2,000","1,782"
"서울특별시 영등포구 여의동(1156054000)","34,056","15,991","18,065","6,938","3,105","3,833"
"서울특별시 영등포구 당산제1동(1156055000)","21,056","10,141","10,915","3,818","1,707","2,111"
"서울특별시 영등포구 당산제2동(1156056000)","36,339","16,875","19,464","5,341","2,468","2,873"
"서울특별시 영등포구 도림동(1156058500)","17,674","8,936","8,738","3,695","1,695","2,000"
"서울특별시 영등포구 문래동(1156060500)","31,317","15,220","16,097","5,178","2,311","2,867"
"서울특별시 영등포구 양평제1동(1156061000)","18,223","8,662","9,561","2,627","1,129","1,498"
"서울특별시 영등포구 양평제2동(1156062000)","22,596","10,869","11,727","3,055","1,398","1,657"
"서울특별시 영등포구 신길제1동(1156063000)","19,041","9,695","9,346","3,923","1,738","2,185"
"서울특별시 영등포구 신길제3동(1156065000)","16,033","7,962","8,071","3,637","1,615","2,022"
"서울특별시 영등포구 신길제4동(1156066000)","11,927","5,850","6,077","2,721","1,183","1,538"
"서울특별시 영등포구 신길제5동(1156067000)","9,583","4,647","4,936","2,297","993","1,304"
"서울특별시 영등포구 신길제6동(1156068000)","17,836","8,636","9,200","3,697","1,651","2,046"
"서울특별시 영등포구 신길제7동(1156069000)","19,560","9,674","9,886","2,990","1,351","1,639"
"서울특별시 영등포구 대림제1동(1156070000)","13,299","6,565","6,734","3,520","1,541","1,979"
"서울특별시 영등포구 대림제2동(1156071000)","11,568","5,626","5,942","3,050","1,300","1,750"
"서울특별시 영등포구 대림제3동(1156072000)","21,032","10,449","10,583","5,292","2,433","2,859"
