"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 용산구 (1117000000)","202,971","96,826","106,145","39,569","17,426","22,143"
"서울특별시 용산구 후암동(1117051000)","15,716","7,519","8,197","3,266","1,376","1,890"
"서울특별시 용산구 용산2가동(1117052000)","8,601","4,239","4,362","2,146","915","1,231"
"서울특별시 용산구 남영동(1117053000)","6,878","4,170","2,708","1,649","1,020","629"
"서울특별시 용산구 청파동(1117055500)","18,588","8,571","10,017","3,528","1,489","2,039"
"서울특별시 용산구 원효로제1동(1117056000)","17,120","7,870","9,250","2,212","983","1,229"
"서울특별시 용산구 원효로제2동(1117057000)","13,482","6,294","7,188","2,616","1,144","1,472"
"서울특별시 용산구 효창동(1117058000)","10,394","4,886","5,508","1,690","711","979"
"서울특별시 용산구 용문동(1117059000)","11,104","5,239","5,865","2,403","994","1,409"
"서울특별시 용산구 한강로동(1117062500)","21,087","9,958","11,129","3,445","1,640","1,805"
"서울특별시 용산구 이촌제1동(1117063000)","24,910","11,673","13,237","4,646","2,018","2,628"
"서울특별시 용산구 이촌제2동(1117064000)","7,708","3,622","4,086","1,903","802","1,101"
"서울특별시 용산구 이태원제1동(1117065000)","6,002","2,986","3,016","1,452","629","823"
"서울특별시 용산구 이태원제2동(1117066000)","8,425","4,001","4,424","1,847","769","1,078"
"서울특별시 용산구 한남동(1117068500)","13,837","6,486","7,351","2,693","1,196","1,497"
"서울특별시 용산구 서빙고동(1117069000)","12,166","5,834","6,332","2,348","1,031","1,317"
"서울특별시 용산구 보광동(1117070000)","6,953","3,478","3,475","1,725","709","1,016"
