"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 은평구 (1138000000)","458,642","216,857","241,785","100,652","43,276","57,376"
"서울특별시 은평구 녹번동(1138051000)","35,235","16,438","18,797","8,156","3,419","4,737"
"서울특별시 은평구 불광제1동(1138052000)","37,145","17,327","19,818","8,903","3,733","5,170"
"서울특별시 은평구 불광제2동(1138053000)","26,339","12,660","13,679","6,899","3,025","3,874"
"서울특별시 은평구 갈현제1동(1138055100)","14,055","6,767","7,288","3,412","1,479","1,933"
"서울특별시 은평구 갈현제2동(1138055200)","26,916","12,654","14,262","5,939","2,544","3,395"
"서울특별시 은평구 구산동(1138056000)","30,744","14,876","15,868","7,193","3,279","3,914"
"서울특별시 은평구 대조동(1138057000)","26,995","12,390","14,605","5,771","2,441","3,330"
"서울특별시 은평구 응암제1동(1138058000)","32,100","14,872","17,228","6,055","2,496","3,559"
"서울특별시 은평구 응암제2동(1138059000)","27,008","13,023","13,985","4,577","1,921","2,656"
"서울특별시 은평구 응암제3동(1138060000)","23,046","11,086","11,960","6,314","2,614","3,700"
"서울특별시 은평구 역촌동(1138062500)","44,724","20,961","23,763","10,133","4,311","5,822"
"서울특별시 은평구 신사제1동(1138063100)","25,889","12,345","13,544","6,017","2,611","3,406"
"서울특별시 은평구 신사제2동(1138063200)","18,455","9,084","9,371","4,424","1,975","2,449"
"서울특별시 은평구 증산동(1138064000)","15,450","7,442","8,008","3,362","1,524","1,838"
"서울특별시 은평구 수색동(1138065000)","21,182","10,197","10,985","3,571","1,527","2,044"
"서울특별시 은평구 진관동(1138069000)","53,359","24,735","28,624","9,926","4,377","5,549"
