"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 종로구 (1111000000)","137,857","66,201","71,656","30,179","13,600","16,579"
"서울특별시 종로구 청운효자동(1111051500)","10,976","4,981","5,995","2,256","923","1,333"
"서울특별시 종로구 사직동(1111053000)","8,917","3,924","4,993","1,951","834","1,117"
"서울특별시 종로구 삼청동(1111054000)","2,144","1,025","1,119","619","273","346"
"서울특별시 종로구 부암동(1111055000)","8,981","4,208","4,773","2,010","873","1,137"
"서울특별시 종로구 평창동(1111056000)","17,183","7,976","9,207","3,943","1,746","2,197"
"서울특별시 종로구 무악동(1111057000)","7,781","3,557","4,224","1,578","659","919"
"서울특별시 종로구 교남동(1111058000)","9,479","4,352","5,127","1,769","730","1,039"
"서울특별시 종로구 가회동(1111060000)","3,683","1,706","1,977","894","372","522"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,681","4,024","2,657","1,833","1,127","706"
"서울특별시 종로구 종로5.6가동(1111063000)","5,259","2,735","2,524","1,120","569","551"
"서울특별시 종로구 이화동(1111064000)","7,073","3,275","3,798","1,447","615","832"
"서울특별시 종로구 혜화동(1111065000)","15,747","7,551","8,196","2,782","1,167","1,615"
"서울특별시 종로구 창신제1동(1111067000)","4,499","2,370","2,129","1,332","662","670"
"서울특별시 종로구 창신제2동(1111068000)","7,228","3,724","3,504","1,989","909","1,080"
"서울특별시 종로구 창신제3동(1111069000)","6,188","3,022","3,166","1,433","653","780"
"서울특별시 종로구 숭인제1동(1111070000)","5,749","2,786","2,963","1,368","579","789"
"서울특별시 종로구 숭인제2동(1111071000)","10,289","4,985","5,304","1,855","909","946"
