"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 중구 (1114000000)","118,861","57,098","61,763","26,839","11,916","14,923"
"서울특별시 중구 소공동(1114052000)","2,179","1,006","1,173","290","140","150"
"서울특별시 중구 회현동(1114054000)","4,273","2,206","2,067","1,346","690","656"
"서울특별시 중구 명동(1114055000)","2,499","1,025","1,474","740","250","490"
"서울특별시 중구 필동(1114057000)","4,340","2,230","2,110","950","440","510"
"서울특별시 중구 장충동(1114058000)","4,588","2,385","2,203","938","423","515"
"서울특별시 중구 광희동(1114059000)","5,730","2,790","2,940","1,223","577","646"
"서울특별시 중구 을지로동(1114060500)","3,010","1,626","1,384","503","306","197"
"서울특별시 중구 신당동(1114061500)","7,379","3,594","3,785","1,699","776","923"
"서울특별시 중구 다산동(1114062500)","13,115","6,317","6,798","3,159","1,377","1,782"
"서울특별시 중구 약수동(1114063500)","15,804","7,275","8,529","4,329","1,791","2,538"
"서울특별시 중구 청구동(1114064500)","10,928","5,072","5,856","2,678","1,120","1,558"
"서울특별시 중구 신당제5동(1114065000)","10,009","4,844","5,165","2,070","897","1,173"
"서울특별시 중구 동화동(1114066500)","9,843","4,715","5,128","2,321","1,054","1,267"
"서울특별시 중구 황학동(1114067000)","13,149","6,144","7,005","2,312","1,017","1,295"
"서울특별시 중구 중림동(1114068000)","12,015","5,869","6,146","2,281","1,058","1,223"
