"행정구역","2025년07월_전체","2025년07월_남자","2025년07월_여자","2025년07월_65세이상전체","2025년07월_65세이상남자","2025년07월_65세이상여자"
"서울특별시 중랑구 (1126000000)","377,334","184,437","192,897","86,206","38,835","47,371"
"서울특별시 중랑구 면목제2동(1126052000)","23,184","11,465","11,719","5,530","2,441","3,089"
"서울특별시 중랑구 면목제4동(1126054000)","17,614","8,730","8,884","4,363","1,902","2,461"
"서울특별시 중랑구 면목제5동(1126055000)","14,095","6,983","7,112","2,774","1,264","1,510"
"서울특별시 중랑구 면목본동(1126056500)","31,943","15,720","16,223","7,164","3,181","3,983"
"서울특별시 중랑구 면목제7동(1126057000)","20,695","10,256","10,439","5,142","2,350","2,792"
"서울특별시 중랑구 면목제3.8동(1126057500)","23,664","11,652","12,012","5,934","2,645","3,289"
"서울특별시 중랑구 상봉제1동(1126058000)","22,672","10,988","11,684","4,749","2,123","2,626"
"서울특별시 중랑구 상봉제2동(1126059000)","20,952","9,832","11,120","3,568","1,627","1,941"
"서울특별시 중랑구 중화제1동(1126060000)","18,023","8,903","9,120","4,341","1,996","2,345"
"서울특별시 중랑구 중화제2동(1126061000)","24,057","12,257","11,800","5,930","2,784","3,146"
"서울특별시 중랑구 묵제1동(1126062000)","33,162","15,766","17,396","7,006","3,134","3,872"
"서울특별시 중랑구 묵제2동(1126063000)","17,745","8,702","9,043","4,288","1,941","2,347"
"서울특별시 중랑구 망우본동(1126065500)","38,232","18,788","19,444","8,160","3,767","4,393"
"서울특별시 중랑구 망우제3동(1126066000)","15,288","7,682","7,606","4,038","1,897","2,141"
"서울특별시 중랑구 신내1동(1126068000)","36,899","17,692","19,207","8,328","3,693","4,635"
"서울특별시 중랑구 신내2동(1126069000)","19,109","9,021","10,088","4,891","2,090","2,801"
