,파크골프장명,주소,홀수,하루 수용인원
1,월드컵공원 파크골프장,서울특별시 마포구 상암동478-1번지 일대,18,264
2,서남물재생센터 파크골프장,서울특별시 강서구 양천로201,9,150
3,잠실운동장 파크골프장,서울특별시 송파구 올림픽로25번지,9,200
4,안양천(생태공원) 파크골프장,서울특별시 양천구 목동411일대,18,144
5,안양천(우안) 파크골프장,서울특별시 구로구 신도림동271-64번지 일대,9,
6,안양천 파크골프장,서울특별시 구로구 고척동60-1번지 일대,18,288
7,안양천 파크골프장,서울특별시 금천구 가산동557-3,18,432
8,안양천(양평누리체육공원) 파크골프장,서울특별시 영등포구 양화동4-1일대,18,360
9,중랑천 파크골프장 (노원구),서울특별시 노원구 월계동230-10,9,120
10,중랑천 파크골프장 (동대문구),서울특별시 동대문구 장안동204번지 일대,9,144
11,녹천교 파크골프장 ,서울특별시 도봉구 창동796,6,
12,중랑천 파크골프장 (광진구),서울특별시 광진구 중곡동455-9번지 일대,9,144
13,중랑구립파크골프장,서울특별시 중랑구 묵동 361-5 일대,9,160
14,다락원 파크골프장,서울특별시 도봉구 도봉동 1-28 일대,9,
15,탄천 파크골프장,서울특별시 강남구 세곡동 2-5 일대,27,540
16,중랑물재생센터 파크골프장,서울특별시 성동구 자동차시장3길 64,9,144
17,살곶이공원 파크골프장,서울특별시 성동구 사근동 104,2,
18,망원유수지 파크골프장,서울특별시 마포구 망원동 450-3,9,144
19,중랑천파크골프장,서울특별시 노원구 상계동 754-14,9,120
20,난지천공원 파크골프장 연습장,서울특별시 마포구 상암동 1538,6,96
21,동작 파크골프장,서울특별시 동작구 동작동 327,9,192
22,안양천 파크골프장,서울특별시 양천구 목동 411 일대,9,144
23,잠실파크골프장,서울특별시 송파구 잠실동 306 (잠실 유수지),9,200
24,여의도한강공원,서울특별시 영등포구 여의도동 70-1,18,400
25,관악 파크골프장,서울특별시 관악구 신림동 산108-10,9,144
