"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)"
"3240000","CDFH3301262025000001","2025-04-23","","01","영업/정상","13","영업중","","","","","02-557-8828","","","서울특별시 강동구 고덕동 353-23 강동 아이파크 더리버 3~5층 304, 402-1~2, 503-1~2호","서울특별시 강동구 고덕비즈밸리로 51, 3~5층 304, 402-1~2, 503-1~2호 (고덕동)","05203","초이스바이반트","2025-04-23 17:33:47","I","2024-12-03 22:05:00.0","","213847.923700142","451564.469961363"
"3040000","CDFH3301262015000004","2015-07-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 광장동 313-3 광진구민체육센타","서울특별시 광진구 구천면로 14, 광진구민체육센타 (광장동)","04970","광진구민체육센터","2025-04-28 19:22:41","I","2024-12-03 21:00:00.0","","209343.001409181","449330.493519953"
"3220000","CDFH3301262022000002","2022-06-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 74-6","서울특별시 강남구 논현로 734, 지상2층,지하3,4층 (논현동)","06049","에이 스피릿 오브 저니(A SPIRIT OF JOURNEY)","2025-05-14 13:26:38","U","2024-12-04 23:06:00.0","","202545.820550895","446151.727131374"
"3040000","CDFH3301262015000006","2015-06-25","","01","영업/정상","13","영업중","","","","","02-2049-4570","","","서울특별시 광진구 자양동 227-344 광진문화예술회관 및 구의회청사","서울특별시 광진구 능동로 76, 광진문화예술회관 및 구의회청사 (자양동)","05065","광진문화예술회관","2025-05-21 10:39:08","I","2024-12-04 22:03:00.0","","206174.517174891","448365.36370057"
"3040000","CDFH3301262015000005","2015-06-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 중곡동 168-8 중곡문화체육센터","서울특별시 광진구 능동로 433, 중곡문화체육센터 (중곡동)","04904","중곡문화체육센터","2025-05-21 10:38:52","U","2024-12-04 22:03:00.0","","207416.176199123","451726.824779759"
"3040000","CDFH3301262025000001","2025-06-17","","01","영업/정상","13","영업중","","","","","02-3450-6000","","","서울특별시 광진구 자양동 870 업무시설(B동)","서울특별시 광진구 아차산로 410, 업무시설(B동) (자양동)","05050","풀만 앰배서더 서울 이스트폴","2025-06-18 09:09:44","I","2024-12-05 22:00:00.0","","",""
"3130000","CDFH3301262025000001","2025-04-11","","01","영업/정상","13","영업중","","","","","02-372-7534","","","서울특별시 마포구 상암동 1669 삼동소년촌","서울특별시 마포구 가양대로 124, 삼동소년촌 (상암동)","03906","삼동소년촌 삼동교육관(서부YMCA)","2025-06-18 16:13:06","U","2024-12-05 22:00:00.0","","189195.406463776","453187.932341921"
"3000000","CDFH3301262007000002","2007-07-05","","03","폐업","03","폐업","2008-03-17","","","","733-8111","","110-080","서울특별시 종로구 무악동 82번지 무악현대프라자 ","","","(주)나비스포렉스","2009-01-08 10:33:23","I","2018-08-31 23:59:59.0","","196467.975088253    ","452566.134030104    "
"3000000","CDFH3301262015000001","2015-07-31","","01","영업/정상","13","영업중","","","","","02-6388-5390","","","서울특별시 종로구 당주동 30","서울특별시 종로구 새문안로 97, 포시즌즈호텔 (당주동)","03183","Four Seasons Club Seoul(포시즌스 클럽 서울)","2025-05-12 13:46:31","U","2024-12-04 23:04:00.0","","197758.993026787","452053.420838552"
"3000000","CDFH3301262007000003","2007-08-06","","03","폐업","03","폐업","2021-10-05","","","","02-738-5005","","","서울특별시 종로구 종로1가 24 르메이에르종로타운1 ","서울특별시 종로구 종로 19, 르메이에르종로타운1 (종로1가)","03157","르메이에르스포츠 종로센터","2021-10-05 14:54:18","U","2021-10-07 02:40:00.0","","198150.300374121    ","452019.212642931    "
"3000000","CDFH3301262002000003","2002-05-27","","03","폐업","03","폐업","2005-11-01","","","","","","110-846","서울특별시 종로구 평창동 108-2번지 ","","","(주)올림피아스위트","2005-11-02 10:29:18","I","2018-08-31 23:59:59.0","","197949.002174181    ","456478.436790904    "
