,역이름,y,x,호선,geometry
0,가락시장,37.492522,127.118234,"['03호선', '08호선']",POINT (127.118234 37.492522)
1,종로3가,37.571607,126.991806,"['01호선', '03호선', '05호선']",POINT (126.991806 37.571607)
2,오금,37.502162,127.128111,"['03호선', '05호선']",POINT (127.128111 37.502162)
3,동대문,37.57142,127.009745,"['01호선', '04호선']",POINT (127.009745 37.57142)
4,동대문역사문화공원,37.565138,127.007896,"['02호선', '04호선', '05호선']",POINT (127.007896 37.565138)
5,충무로,37.561243,126.99428,"['03호선', '04호선']",POINT (126.99428 37.561243)
6,서울,37.554648,126.972559,['GTX-A'],POINT (126.972559 37.554648)
7,신도림,37.508725,126.891295,"['01호선', '02호선']",POINT (126.891295 37.508725)
8,이촌,37.522272,126.974345,"['04호선', '경의선']",POINT (126.974345 37.522272)
9,왕십리,37.561533,127.037732,"['02호선', '05호선', '경의선', '수인분당선']",POINT (127.037732 37.561533)
10,시청,37.564718,126.977108,"['01호선', '02호선']",POINT (126.977108 37.564718)
11,교대,37.493415,127.01408,"['02호선', '03호선']",POINT (127.01408 37.493415)
12,신설동,37.575297,127.025087,"['01호선', '02호선', '우이신설경전철']",POINT (127.025087 37.575297)
13,강변,37.535095,127.094681,['02호선'],POINT (127.094681 37.535095)
14,까치산,37.531768,126.846683,"['02호선', '05호선']",POINT (126.846683 37.531768)
15,을지로3가,37.566295,126.99191,"['02호선', '03호선']",POINT (126.99191 37.566295)
16,홍대입구,37.557192,126.925381,"['02호선', '경의선', '공항철도']",POINT (126.925381 37.557192)
17,광운대,37.623632,127.061835,"['01호선', '경춘선']",POINT (127.061835 37.623632)
18,상봉,37.596362,127.085032,"['07호선', '경의선', '경춘선']",POINT (127.085032 37.596362)
19,망우,37.59955,127.091909,"['경의선', '경춘선']",POINT (127.091909 37.59955)
20,영등포구청,37.52497,126.895951,"['02호선', '05호선']",POINT (126.895951 37.52497)
21,신길,37.517122,126.917169,"['01호선', '05호선']",POINT (126.917169 37.517122)
22,을지로4가,37.566941,126.998079,"['02호선', '05호선']",POINT (126.998079 37.566941)
23,합정,37.549463,126.913739,"['02호선', '06호선']",POINT (126.913739 37.549463)
24,공덕,37.544018,126.951592,"['05호선', '06호선', '경의선', '공항철도']",POINT (126.951592 37.544018)
25,삼각지,37.534777,126.97311,"['04호선', '06호선']",POINT (126.97311 37.534777)
26,약수,37.55434,127.010655,"['03호선', '06호선']",POINT (127.010655 37.55434)
27,신당,37.565972,127.01782,"['02호선', '06호선']",POINT (127.01782 37.565972)
28,동묘앞,37.572627,127.016429,"['01호선', '06호선']",POINT (127.016429 37.572627)
29,석계,37.614805,127.065851,"['01호선', '06호선']",POINT (127.065851 37.614805)
30,도봉산,37.689313,127.046222,"['01호선', '07호선']",POINT (127.046222 37.689313)
31,불광,37.610469,126.929887,"['03호선', '06호선']",POINT (126.929887 37.610469)
32,연신내,37.619001,126.921008,"['03호선', '06호선', 'GTX-A']",POINT (126.921008 37.619001)
33,금정,37.372221,126.943429,"['01호선', '04호선']",POINT (126.943429 37.372221)
34,수원,37.265974,126.999874,"['01호선', '수인분당선']",POINT (126.999874 37.265974)
35,원인재,37.412603,126.687389,"['수인분당선', '인천선']",POINT (126.687389 37.412603)
36,회기,37.58946,127.057583,"['01호선', '경의선', '경춘선']",POINT (127.057583 37.58946)
37,대곡,37.631626,126.811024,"['03호선', 'GTX-A', '경의선', '서해선']",POINT (126.811024 37.631626)
38,디지털미디어시티,37.576646,126.900984,"['06호선', '경의선', '공항철도']",POINT (126.900984 37.576646)
39,회룡,37.724846,127.046895,"['01호선', '의정부경전철']",POINT (127.046895 37.724846)
40,판교,37.394761,127.111217,"['경강선', '신분당선']",POINT (127.111217 37.394761)
41,오이도,37.362357,126.738714,"['04호선', '수인분당선']",POINT (126.738714 37.362357)
42,이매,37.396104,127.12827,"['경강선', '수인분당선']",POINT (127.12827 37.396104)
43,선정릉,37.51098,127.043593,"['09호선', '수인분당선']",POINT (127.043593 37.51098)
44,종합운동장,37.510997,127.073642,"['02호선', '09호선']",POINT (127.073642 37.510997)
45,천호,37.538397,127.123572,"['05호선', '08호선']",POINT (127.123572 37.538397)
46,창동,37.653166,127.047731,"['01호선', '04호선']",POINT (127.047731 37.653166)
47,사당,37.47653,126.981685,"['02호선', '04호선']",POINT (126.981685 37.47653)
48,노원,37.655128,127.061368,"['04호선', '07호선']",POINT (127.061368 37.655128)
49,군자,37.557121,127.079542,"['05호선', '07호선']",POINT (127.079542 37.557121)
50,건대입구,37.540693,127.07023,"['02호선', '07호선']",POINT (127.07023 37.540693)
51,고속터미널,37.50481,127.004943,"['03호선', '07호선', '09호선']",POINT (127.004943 37.50481)
53,대림,37.49297,126.895801,"['02호선', '07호선']",POINT (126.895801 37.49297)
54,가산디지털단지,37.481072,126.882343,"['01호선', '07호선']",POINT (126.882343 37.481072)
55,온수,37.492258,126.823388,"['01호선', '07호선']",POINT (126.823388 37.492258)
56,부평구청,37.508336,126.720548,"['07호선', '인천선']",POINT (126.720548 37.508336)
57,잠실,37.51395,127.102234,"['02호선', '08호선']",POINT (127.102234 37.51395)
58,복정,37.470047,127.126662,"['08호선', '수인분당선']",POINT (127.126662 37.470047)
59,모란,37.43213,127.129087,"['08호선', '수인분당선']",POINT (127.129087 37.43213)
60,부평,37.489493,126.724805,"['01호선', '인천선']",POINT (126.724805 37.489493)
61,당산,37.53438,126.902281,"['02호선', '09호선']",POINT (126.902281 37.53438)
62,여의도,37.521624,126.924191,"['05호선', '09호선']",POINT (126.924191 37.521624)
63,동작,37.502971,126.979306,"['04호선', '09호선']",POINT (126.979306 37.502971)
64,김포공항,37.562434,126.801058,"['05호선', '09호선', '공항철도', '김포도시철도', '서해선']",POINT (126.801058 37.562434)
65,강남,37.497175,127.027926,"['02호선', '신분당선']",POINT (127.027926 37.497175)
66,양재,37.484147,127.034631,"['03호선', '신분당선']",POINT (127.034631 37.484147)
67,정자,37.36706,127.108105,"['수인분당선', '신분당선']",POINT (127.108105 37.36706)
68,강남구청,37.517186,127.04128,"['07호선', '수인분당선']",POINT (127.04128 37.517186)
69,선릉,37.504503,127.049008,"['02호선', '수인분당선']",POINT (127.049008 37.504503)
70,효창공원앞,37.539261,126.961351,"['06호선', '경의선']",POINT (126.961351 37.539261)
71,태릉입구,37.617983,127.07512,"['06호선', '07호선']",POINT (127.07512 37.617983)
72,검암,37.569104,126.673728,"['공항철도', '인천2호선']",POINT (126.673728 37.569104)
73,주안,37.464941,126.679923,"['01호선', '인천2호선']",POINT (126.679923 37.464941)
74,인천,37.476691,126.616936,"['01호선', '수인분당선']",POINT (126.616936 37.476691)
75,인천시청,37.457405,126.702221,"['인천2호선', '인천선']",POINT (126.702221 37.457405)
76,청량리,37.580178,127.046835,"['01호선', '경의선', '경춘선', '수인분당선']",POINT (127.046835 37.580178)
77,중랑,37.594917,127.076116,"['경의선', '경춘선']",POINT (127.076116 37.594917)
78,충정로,37.559973,126.963672,"['02호선', '05호선']",POINT (126.963672 37.559973)
